Asset,Quote,Provider,Deploy,Whitelist,Class,pyth,base,quote,feedId,maxStaleness,maxConfWidth
BGB,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x708bfcf418ead52a408407b039f2c33ce24ddc80d6dcb6d1cffef91c156c80fa,120,300
BIFI,USD,Pyth,Yes,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xb1f1ee126e9c96231cc3d3fad7c08b4cf873b1f1,0x0000000000000000000000000000000000000348,0x70cd05521e3bdeaee2cadc1360f0d95397f03275f273199be35a029114f53a3b,120,300
BITCOIN,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xc5e0e0c92116c0c070a242b254270441a6201af680a33e0381561c59db3266c9,120,300
BLAST,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x057345a7e9ef0f36dca8ad1c4e5788808b85f3084cc7b0d8cb29ac5012d88f0d,120,300
BLUR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x5283d291dbcf85356a21ba090e6db59121208b44,0x0000000000000000000000000000000000000348,0x856aac602516addee497edf6f50d39e8c95ae5fb0da1ed434a8c2ab9c3e877e9,120,300
BLZE,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x93c3def9b169f49eed14c9d73ed0e942c666cf0e1290657ec82038ebb792c2a8,120,300
BNB,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x2f95862b045670cd22bee3114c39763a4a08beeb663b145d283c31d7d1101c4f,120,300
BOBA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xd1e9cff9b8399f9867819a3bf1aa8c2598234eecfd36ddc3a7bc7848432184b5,120,300
BODEN,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x7bd87c3390d2c88d4699c7621fd857e0982027723751ce6e98bcc7604a407976,120,300
BOME,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x30e4780570973e438fdb3f1b7ad22618b2fc7333b65c7853a7ca144c39052f7a,120,300
BONK,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x72b021217ca3fe68922a19aaf990109cb9d84e9ad004b4d2025ad6f529314419,120,300
BORG,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xef3f94c52ecc3a624fa0fa51ab2b562f70d8f98ff505bb36cbc08c22b1aff628,120,300
BRZ,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x1ce9069708fb49e2f1b062fa4f1be0bb151475ca506939d6d8c14386d49f43dc,120,300
BSOL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x89875379e70f8fbadc17aef315adf3a8d5d160b811435537e03c97e8aac97d9c,120,300
BSV,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xb44565b8b9b39ab2f4ba792f1c8f8aa8ef7d780e709b191637ef886d96fd1472,120,300
BTC,USD,Pyth,Yes,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,0xe62df6c8b4a85fe1a67db44dc12de5db330f7ac66b72dc658afedf0f4a415b43,120,300
BTT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x097d687437374051c75160d648800f021086bc8edf469f11284491fda8192315,120,300
C98,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xae12c5930881c53715b369cec7606b70d8eb229f,0x0000000000000000000000000000000000000348,0x2dd14c7c38aa7066c7a508aac299ebcde5165b07d5d9f2d94dfbfe41f0bc5f2e,120,300
CAKE,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x2356af9529a1064d41e32d617e2ce1dca5733afa901daba9e2b68dee5d53ecf9,120,300
CANTO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x972776d57490d31c32279c16054e5c01160bd9a2e6af8b58780c82052b053549,120,300
CBETH,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x0000000000000000000000000000000000000348,0x15ecddd26d49e1a8f1de9376ebebc03916ede873447c1255d2d5891b92ce5717,120,300
CELO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x7d669ddcdd23d9ef1fa9a9cc022ba055ec900e91c4cb960f3c20429d4447a411,120,300
CELR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x20841878a1c4d3ea4587603e2cb55b32afae64402f281652f5a3b94155ff27e9,120,300
CETUS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xe5b274b2611143df055d6e7cd8d93fe1961716bcd4dca1cad87a83bc1e78c1ef,120,300
