Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness,,,,,,,Asset class
MLN,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xec67005c4E498Ec7f55E092bd1d35cbC47C91892,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDaeA8386611A157B08829ED4997A8A62B557014C,90000,,,,,,,Crypto
USDP,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3a08ebBaB125224b7b6474384Ee39fBb247D2200,90000,,,,,,,Crypto
PAXG,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x45804880De22913dAFE09f4980848ECE6EcbAf78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9B97304EA12EFed0FAd976FBeCAad46016bf269e,90000,,,,,,,Crypto
PERP,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xbC396689893D065F41bc2C6EcbeE5e0085233447,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3b41D5571468904D4e53b6a8d93A6BaC43f02dC9,90000,,,,,,,Crypto
PYUSD,USD,Chainlink,Yes,Yes,86400,0.30%,ChainlinkOracle,0x6c3ea9036406852006290770bedfcaba0e23a0e8,0x0000000000000000000000000000000000000348,0x8f1dF6D7F2db73eECE86a18b4381F4707b918FB1,90000,,,,,,,Crypto
RDNT,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x137dDB47Ee24EaA998a535Ab00378d6BFa84F893,0x0000000000000000000000000000000000000348,0x393CC05baD439c9B36489384F11487d9C8410471,90000,,,,,,,Crypto
REN,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x408e41876cCCDC0F92210600ef50372656052a38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3147D7203354Dc06D9fd350c7a2437bcA92387a4,90000,,,,,,,Crypto
RETH,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0xae78736Cd615f374D3085123A210448E74Fc6393,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x536218f9E9Eb48863970252233c8F271f554C2d0,90000,,,,,,,Crypto
RPL,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,0x0000000000000000000000000000000000000348,0x4E155eD98aFE9034b7A5962f6C84c86d869daA9d,90000,,,,,,,Crypto
RSETH,ETH,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x03c68933f7a3F76875C0bc670a58e69294cDFD01,90000,,,,,,,Crypto
RSR,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x320623b8E4fF03373931769A31Fc52A4E78B5d70,0x0000000000000000000000000000000000000348,0x759bBC1be8F90eE6457C44abc7d443842a976d02,90000,,,,,,,Crypto
rswETH,ETH,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xb613CfebD0b6e95abDDe02677d6bC42394FdB857,90000,,,,,,,Crypto
SAND,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x0000000000000000000000000000000000000348,0x35E3f7E558C04cE7eEE1629258EcbbA03B36Ec56,90000,,,,,,,Crypto
SHIB,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8dD1CD88F43aF196ae478e91b9F5E4Ac69A97C61,90000,,,,,,,Crypto
SNX,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x79291A9d692Df95334B1a0B3B4AE6bC606782f8c,90000,,,,,,,Crypto
SNX,USD,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x0000000000000000000000000000000000000348,0xDC3EA94CD0AC27d9A86C180091e7f78C683d3699,90000,,,,,,,Crypto
SOL,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x4ffC43a60e009B551865A93d232E33Fce9f01507,90000,,,,,,,Crypto
SPELL,USD,Chainlink,No,No,86400,1.00%,ChainlinkOracle,0x090185f2135308BaD17527004364eBcC2D37e5F6,0x0000000000000000000000000000000000000348,0x8c110B94C5f1d347fAcF5E1E938AB2db60E3c9a8,90000,,,,,,,Crypto
STETH,ETH,Chainlink,Yes,No,86400,0.50%,ChainlinkOracle,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x86392dC19c0b719886221c78AB11eb8Cf5c52812,90000,,,,,,,Crypto
STETH,USD,Chainlink,Yes,No,3600,1.00%,ChainlinkOracle,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x0000000000000000000000000000000000000348,0xCfE54B5cD566aB89272946F602D76Ea879CAb4a8,7200,,,,,,,Crypto
STG,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6,0x0000000000000000000000000000000000000348,0x7A9f34a0Aa917D438e9b6E630067062B7F8f6f3d,90000,,,,,,,Crypto
SUSD,ETH,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8e0b7e6062272B5eF4524250bFFF8e5Bd3497757,90000,,,,,,,Crypto
sUSDe,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x0000000000000000000000000000000000000348,0xFF3BC18cCBd5999CE63E788A1c250a88626aD099,90000,,,,,,,Crypto
SUSHI,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe572CeF69f43c2E488b33924AF04BDacE19079cf,90000,,,,,,,Crypto
SUSHI,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0x0000000000000000000000000000000000000348,0xCc70F09A6CC17553b2E31954cD36E4A2d89501f7,7200,,,,,,,Crypto
SWETH,ETH,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xec21B3e882CE09928cb397DcfF31B15cBBD1e1C3,90000,,,,,,,Crypto
