Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
GHO,USD,Chainlink,Yes,Yes,86400,0.2,ChainlinkOracle,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x0000000000000000000000000000000000000348,0x3c786e934F23375Ca345C9b8D5aD54838796E8e7,90000
gmARB-USDC,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xC25cEf6061Cf5dE5eb761b50E4743c1F5D7E5407,0x0000000000000000000000000000000000000348,0x5d046567b97B0d7322F2402e3b34Bf789cE329f5,90000
gmBTC-USDC,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x47c031236e19d024b42f8AE6780E44A573170703,0x0000000000000000000000000000000000000348,0x395D5c5D552Df670dc4B2B1cef0c4EABfFba492f,90000
gmETH-USDC,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x70d95587d40A2caf56bd97485aB3Eec10Bee6336,0x0000000000000000000000000000000000000348,0xfB3264D1129824933a52374c2C1696F4470D041e,90000
GMX,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,0x0000000000000000000000000000000000000348,0xDB98056FecFff59D032aB628337A4887110df3dB,90000
GNS,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x18c11FD286C5EC11c3b683Caa813B77f5163A122,0x0000000000000000000000000000000000000348,0xE89E98CE4E19071E59Ed4780E0598b541CE76486,90000
GRT,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x9623063377AD1B27544C965cCd7342f7EA7e88C7,0x0000000000000000000000000000000000000348,0x0F38D86FceF4955B705F35c9e41d1A16e0637c73,90000
inETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x5A7a183B6B44Dc4EC2E3d2eF43F98C5152b1d76d,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x3C5C5329b028E674F7a124b18527B94BE74A66cF,90000
instETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xd08C3F25862077056cb1b710937576Af899a4959,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x4050bD8263771f8BBded08C299BD944488a91AaD,90000
IOTX,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x484A1b29ED1Ea038dBd75D7c7293714343363122,90000
JOE,USD,Chainlink,Yes,Yes,86400,1,ChainlinkOracle,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,0x0000000000000000000000000000000000000348,0x04180965a782E487d0632013ABa488A472243542,90000
KNC,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xe4DDDfe67E7164b0FE14E218d80dC4C08eDC01cB,0x0000000000000000000000000000000000000348,0xbF539d4c2106dd4D9AB6D56aed3d9023529Db145,90000
LDO,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x13Ad51ed4F1B7e9Dc168d8a00cB3f4dDD85EfA60,0x0000000000000000000000000000000000000348,0xA43A34030088E6510FecCFb77E88ee5e7ed0fE64,90000
LINK,ETH,Chainlink,No,No,86400,5,ChainlinkOracle,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xb7c8Fb1dB45007F98A68Da0588e1AA524C317f27,90000
LINK,USD,Chainlink,Yes,Yes,3600,0.2,ChainlinkOracle,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0x0000000000000000000000000000000000000348,0x86E53CF1B870786351Da77A57575e79CB55812CB,7200
